date,matchup,home_ml,away_ml,commence_time
2025-11-18,CHA @ TOR,-520,350,2025-11-18 00:43:49+00:00
2025-11-18,CHI @ DEN,-800,560,2025-11-18 02:10:00+00:00
2025-11-18,DAL @ MIN,-900,600,2025-11-18 01:10:00+00:00
2025-11-18,IND @ DET,-1050,600,2025-11-18 00:11:00+00:00
2025-11-18,LAC @ PHI,-102,-125,2025-11-18 00:10:00+00:00
2025-11-18,MIL @ CLE,-195,150,2025-11-18 00:12:55+00:00
2025-11-18,NYK @ MIA,-166,130,2025-11-18 00:41:48+00:00
2025-11-18,OKC @ NOP,1400,-3500,2025-11-18 01:10:00+00:00
2025-11-19,BOS @ BKN,255,-350,2025-11-19 00:40:00+00:00
2025-11-19,DET @ ATL,126,-162,2025-11-19 00:41:00+00:00
2025-11-19,GSW @ ORL,-200,154,2025-11-19 00:12:00+00:00
2025-11-19,MEM @ SAS,-230,190,2025-11-19 01:10:00+00:00
2025-11-19,PHX @ POR,-134,114,2025-11-19 04:10:00+00:00
2025-11-19,UTA @ LAL,-700,500,2025-11-19 03:40:00+00:00
