Date,VH,Team,Open,Close,ML,OU
2025-11-29,H,CHA,4.5,4.5,560.0,211.5
2025-11-30,H,IND,-3.5,-3.5,-184.0,238.5
2025-11-30,H,MIL,-11.5,-11.5,-700.0,214.5
2025-11-30,H,MIA,-3.5,-3.5,-150.0,238.5
2025-11-30,H,GSW,-9.5,-9.5,-430.0,228.5
2025-11-30,H,PHX,4.0,4.0,144.0,232.5
2025-11-30,H,LAC,-8.5,-8.5,-360.0,223.5
2025-11-30,H,UTA,11.5,11.5,460.0,235.5
2025-11-30,H,PHI,-1.0,-1.0,-116.0,235.5
2025-11-30,H,CLE,-8.0,-8.0,-290.0,229.5
2025-11-30,H,NYK,-6.0,-6.0,,232.0
2025-11-30,H,POR,13.0,13.0,570.0,230.5
2025-12-01,H,MIN,-3.0,-3.0,-152.0,230.5
2025-12-01,H,SAC,3.5,3.5,134.0,231.5
2025-12-01,H,LAL,-14.5,-14.5,-820.0,233.5
2025-12-09,H,ORL,-5.5,-5.5,-205.0,238.5
2025-12-10,H,TOR,2.5,2.5,110.0,236.5
2025-12-11,H,OKC,-14.5,-14.5,-950.0,224.5
2025-12-11,H,LAL,-3.5,-3.5,-162.0,235.5
